transaction_id,transaction_date,online_order,order_status,customer_id,product_id,brand
1,2017-02-25,False,Approved,2950,2,Solex
2,2017-05-21,True,Approved,3120,3,Trek Bicycles
3,2017-10-16,False,Approved,402,37,OHM Cycles
4,2017-08-31,False,Approved,3135,88,Norco Bicycles
5,2017-10-01,True,Approved,787,78,Giant Bicycles
6,2017-03-08,True,Approved,2339,25,Giant Bicycles
7,2017-04-21,True,Approved,1542,22,WeareA2B
8,2017-07-15,False,Approved,2459,15,WeareA2B
9,2017-08-10,False,Approved,1305,67,Solex
10,2017-08-30,True,Approved,3262,12,WeareA2B
11,2017-01-17,False,Approved,1986,5,Trek Bicycles
12,2017-01-05,True,Approved,2783,61,OHM Cycles
13,2017-02-26,True,Approved,1243,35,Trek Bicycles
14,2017-09-10,False,Approved,2717,16,Norco Bicycles
15,2017-06-11,False,Approved,247,12,Giant Bicycles
16,2017-10-10,False,Approved,2961,3,Trek Bicycles
17,2017-04-03,False,Approved,2426,79,Norco Bicycles
18,2017-06-02,False,Approved,1842,33,Giant Bicycles
19,2017-04-06,True,Approved,2268,54,WeareA2B
20,2017-01-28,True,Approved,3002,25,Giant Bicycles
21,2017-10-09,False,Approved,1582,27,Trek Bicycles
22,2017-06-29,True,Approved,595,37,OHM Cycles
23,2017-04-08,True,Approved,2001,37,OHM Cycles
24,2017-10-18,False,Approved,515,82,Giant Bicycles
25,2017-06-11,False,Approved,2822,89,WeareA2B
26,2017-01-10,False,Approved,2596,64,Trek Bicycles
27,2017-04-11,True,Approved,2666,64,Trek Bicycles
28,2017-12-23,False,Approved,76,19,Trek Bicycles
29,2017-10-13,True,Approved,3368,72,Norco Bicycles
30,2017-03-15,False,Approved,1173,91,WeareA2B
31,2017-09-05,True,Approved,2810,88,Norco Bicycles
32,2017-02-18,False,Approved,3214,1,Giant Bicycles
33,2017-03-20,False,Approved,1272,25,Giant Bicycles
34,2017-02-28,True,Approved,2003,99,Trek Bicycles
35,2017-08-20,False,Approved,2171,0,Norco Bicycles
36,2017-07-07,False,Approved,3356,92,WeareA2B
37,2017-01-09,False,Approved,1040,14,Solex
38,2017-12-06,False,Approved,2916,2,Solex
39,2017-09-12,False,Approved,427,12,WeareA2B
40,2017-11-28,True,Approved,2448,0,Norco Bicycles
41,2017-05-08,True,Approved,2570,44,WeareA2B
42,2017-05-14,False,Approved,3398,79,Solex
43,2017-03-17,False,Cancelled,488,76,WeareA2B
44,2017-12-22,False,Approved,165,46,Solex
45,2017-06-07,True,Approved,2787,55,Trek Bicycles
46,2017-06-20,False,Approved,3053,66,Solex
47,2017-05-07,True,Approved,475,35,Trek Bicycles
48,2017-06-10,True,Approved,1305,81,Solex
49,2017-06-17,False,Approved,1251,86,OHM Cycles
50,2017-05-10,False,Approved,3103,32,Giant Bicycles
51,2017-03-24,False,Approved,3108,77,Norco Bicycles
52,2017-11-27,False,Approved,857,96,Giant Bicycles
53,2017-12-21,True,Approved,3455,6,OHM Cycles
54,2017-02-09,True,Approved,2549,27,Trek Bicycles
55,2017-09-18,False,Approved,3140,0,Norco Bicycles
56,2017-11-14,False,Approved,3406,47,Trek Bicycles
57,2017-08-30,True,Approved,2294,94,Giant Bicycles
58,2017-11-14,False,Approved,1031,91,Solex
59,2017-02-15,True,Approved,993,93,OHM Cycles
60,2017-12-18,False,Approved,3473,60,Giant Bicycles
61,2017-02-24,False,Approved,1839,0,OHM Cycles
62,2017-12-18,True,Approved,1824,33,Giant Bicycles
63,2017-12-17,False,Approved,368,35,Giant Bicycles
64,2017-07-08,False,Approved,2000,0,Trek Bicycles
65,2017-05-16,True,Approved,825,28,Norco Bicycles
66,2017-02-23,True,Approved,3315,86,OHM Cycles
67,2017-07-03,True,Approved,75,2,Solex
68,2017-09-30,True,Approved,1498,4,Giant Bicycles
69,2017-10-21,True,Approved,1612,38,Trek Bicycles
70,2017-05-06,True,Approved,2192,27,Trek Bicycles
71,2017-01-03,False,Approved,419,54,WeareA2B
72,2017-05-09,True,Approved,3307,77,WeareA2B
73,2017-07-23,False,Approved,2430,22,WeareA2B
74,2017-01-21,True,Approved,1506,56,OHM Cycles
75,2017-06-20,False,Approved,1346,58,OHM Cycles
76,2017-03-10,False,Approved,927,22,WeareA2B
77,2017-06-02,False,Approved,763,50,WeareA2B
78,2017-11-07,False,Approved,2397,80,OHM Cycles
79,2017-09-12,True,Approved,102,87,Giant Bicycles
80,2017-12-16,False,Approved,2884,15,Norco Bicycles
81,2017-10-07,True,Approved,759,84,Giant Bicycles
82,2017-04-27,True,Approved,773,21,Solex
83,2017-04-01,True,Approved,3398,0,OHM Cycles
84,2017-11-02,True,Approved,3297,33,Giant Bicycles
85,2017-02-13,True,Approved,2434,84,Trek Bicycles
86,2017-07-19,False,Approved,1861,1,Giant Bicycles
87,2017-05-23,False,Approved,1233,27,Trek Bicycles
88,2017-08-06,False,Approved,1390,31,WeareA2B
89,2017-04-04,True,Approved,2682,0,OHM Cycles
90,2017-08-15,True,Approved,439,62,Solex
91,2017-04-15,True,Approved,1579,17,Solex
92,2017-07-25,True,Approved,2984,73,Solex
93,2017-11-28,True,Approved,3470,33,Giant Bicycles
94,2017-12-23,False,Approved,1,86,OHM Cycles
95,2017-02-26,False,Approved,757,45,Solex
96,2017-02-21,False,Approved,1778,1,Giant Bicycles
97,2017-05-31,True,Approved,211,80,OHM Cycles
98,2017-06-23,False,Approved,333,49,Trek Bicycles
99,2017-03-26,False,Approved,32,95,Giant Bicycles
100,2017-07-31,False,Approved,119,0,Solex
101,2017-07-27,False,Approved,2347,18,Norco Bicycles
102,2017-04-14,False,Approved,2353,4,Giant Bicycles
103,2017-11-12,False,Approved,788,33,Giant Bicycles
104,2017-09-12,False,Approved,1468,78,Giant Bicycles
105,2017-10-26,False,Approved,821,89,WeareA2B
106,2017-02-15,False,Approved,2489,70,Trek Bicycles
107,2017-12-22,False,Approved,2710,79,Norco Bicycles
108,2017-10-11,True,Approved,947,26,WeareA2B
109,2017-03-27,True,Approved,1335,39,Giant Bicycles
110,2017-11-04,False,Approved,1076,36,Solex
111,2017-06-11,True,Approved,3320,0,OHM Cycles
112,2017-10-09,False,Approved,779,84,Giant Bicycles
113,2017-06-07,True,Approved,3296,98,Trek Bicycles
114,2017-10-24,True,Approved,455,75,Giant Bicycles
115,2017-05-01,False,Approved,1779,76,WeareA2B
116,2017-11-21,True,Approved,2703,72,Norco Bicycles
117,2017-03-24,False,Approved,806,42,OHM Cycles
118,2017-03-21,False,Approved,22,20,Trek Bicycles
119,2017-02-20,False,Approved,1591,64,Trek Bicycles
120,2017-06-16,False,Approved,678,0,Trek Bicycles
121,2017-12-04,False,Approved,50,25,Giant Bicycles
122,2017-12-01,True,Approved,1038,24,Solex
123,2017-03-05,True,Approved,1453,31,WeareA2B
124,2017-03-21,False,Approved,1339,98,OHM Cycles
125,2017-01-03,True,Approved,3382,22,Solex
126,2017-04-01,False,Approved,773,53,OHM Cycles
127,2017-03-16,True,Approved,2503,84,Trek Bicycles
128,2017-02-26,False,Approved,1057,25,Giant Bicycles
129,2017-06-05,False,Approved,1397,50,WeareA2B
130,2017-09-04,False,Approved,2134,44,WeareA2B
131,2017-01-18,True,Approved,2403,96,WeareA2B
132,2017-09-28,False,Approved,1937,12,WeareA2B
133,2017-09-02,True,Approved,1282,93,WeareA2B
134,2017-05-09,False,Approved,2183,78,Giant Bicycles
135,2017-10-17,False,Approved,1788,84,Giant Bicycles
136,2017-04-25,True,Approved,1170,65,WeareA2B
138,2017-08-02,False,Approved,1940,29,WeareA2B
139,2017-03-25,False,Cancelled,2073,32,Giant Bicycles
140,2017-01-01,False,Approved,462,11,Giant Bicycles
141,2017-12-22,False,Approved,2728,10,Solex
142,2017-12-25,False,Approved,2053,46,Solex
143,2017-01-26,True,Approved,2135,60,Giant Bicycles
144,2017-12-20,False,Approved,1217,92,WeareA2B
145,2017-06-07,True,Approved,2992,7,Trek Bicycles
146,2017-04-06,True,Approved,3261,41,Solex
147,2017-04-25,True,Approved,2748,67,Norco Bicycles
148,2017-01-13,False,Approved,3262,14,Trek Bicycles
149,2017-03-21,False,Approved,788,89,WeareA2B
150,2017-11-21,True,Approved,3067,9,OHM Cycles
151,2017-11-11,False,Approved,701,31,Giant Bicycles
152,2017-10-16,False,Approved,648,92,WeareA2B
153,2017-08-19,True,Approved,3286,37,OHM Cycles
154,2017-04-06,True,Approved,3383,3,Trek Bicycles
155,2017-11-04,True,Approved,982,56,Norco Bicycles
156,2017-08-22,True,Approved,676,14,Solex
157,2017-09-15,True,Approved,385,6,Solex
158,2017-03-01,True,Approved,1229,50,WeareA2B
159,2017-08-16,False,Approved,3232,10,WeareA2B
161,2017-07-10,False,Approved,2381,69,Giant Bicycles
162,2017-12-11,False,Approved,371,78,Giant Bicycles
163,2017-05-20,True,Approved,2519,80,OHM Cycles
164,2017-07-30,False,Approved,2264,17,Solex
165,2017-10-25,True,Approved,2637,3,Trek Bicycles
166,2017-11-27,False,Approved,3262,78,Giant Bicycles
167,2017-04-26,False,Approved,3177,90,Norco Bicycles
168,2017-02-02,False,Approved,2267,87,Giant Bicycles
169,2017-05-02,False,Approved,456,97,Solex
170,2017-10-16,False,Approved,404,6,OHM Cycles
171,2017-10-22,False,Approved,3121,100,Norco Bicycles
172,2017-04-11,True,Approved,2365,55,Trek Bicycles
173,2017-11-16,False,Approved,2528,100,Norco Bicycles
174,2017-12-17,False,Approved,3151,10,WeareA2B
175,2017-12-23,False,Approved,3241,25,Giant Bicycles
176,2017-03-30,True,Approved,1335,74,WeareA2B
177,2017-04-13,False,Approved,2234,90,Norco Bicycles
178,2017-07-25,True,Approved,3226,56,OHM Cycles
179,2017-01-31,False,Approved,1365,62,Solex
