customer_unique_id,Churn_Risk
0000366f3b9a7992bf8c76cfdf3221e2,2
0000b849f77a49e4a4ce2b2a4ca5be3f,2
0000f46a3911fa3c0805444483337064,3
0000f6ccb0745a6a4b88665a16c9f078,3
0004aac84e0df4da2b147fca70cf8255,3
0004bd2a26a76fe21f786e4fbd80607f,2
00050ab1314c0e55a6ca13cf7181fecf,2
00053a61a98854899e70ed204dd4bafe,1
0005e1862207bf6ccc02e4228effd9a0,3
0005ef4cd20d2893f0d9fbd94d3c0d97,2
0006fdc98a402fceb4eb0ee528f6a8d4,3
00082cbe03e478190aadbea78542e933,3
00090324bbad0e9342388303bb71ba0a,2
000949456b182f53c18b68d6babc79c1,2
000a5ad9c4601d2bbdd9ed765d5213b3,3
000bfa1d2f1a41876493be685390d6d3,2
000c8bdb58a29e7115cfc257230fb21b,3
000d460961d6dbfa3ec6c9f5805769e1,3
000de6019bb59f34c099a907c151d855,2
000e309254ab1fc5ba99dd469d36bdb4,1
000ec5bff359e1c0ad76a81a45cb598f,2
000ed48ceeb6f4bf8ad021a10a3c7b43,2
000fbf0473c10fc1ab6f8d2d286ce20c,1
0010a452c6d13139e50b57f19f52e04e,3
0010fb34b966d44409382af9e8fd5b77,2
001147e649a7b1afd577e873841632dd,2
00115fc7123b5310cf6d3a3aa932699e,3
0011805441c0d1b68b48002f1d005526,3
0011857aff0e5871ce5eb429f21cdaf5,3
0011c98589159d6149979563c504cb21,3
0012929d977a8d7280bb277c1e5f589d,3
0014a5a58da615f7b01a4f5e194bf5ea,3
0015752e079902b12cd00b9b7596276b,1
00172711b30d52eea8b313a7f2cced02,2
00191a9719ef48ebb5860b130347bf33,3
001926cef41060fae572e2e7b30bd2a4,2
001928b561575b2821c92254a2327d06,1
00196c4c9a3af7dd2ad10eade69c926f,2
00196fdb2bf9edfc35e88ebfbcf8d781,2
0019da6aa6bcb27cc32f1249bd12da05,2
0019e8c501c85848ac0966d45226fa1d,2
001a2bf0e46c684031af91fb2bce149d,3
001a34eb30ecb8e3aacb07c475ca4dd1,2
001a3a8e11d76c9a366c31a4aa2cc529,2
001ae44fa04911a9e9577356dce6c63c,3
001ae5a1788703d64536c30362503e49,3
001deb796b28a3a128d6113857569aa4,2
001f3c4211216384d5fe59b041ce1461,3
002043098f10ba39a4600b6c52fbfe3c,3
002311514717ca8b65b09a26cdf7b91a,2
0023557a94bef0038066b5d1b3dc763e,2
002471155ecd08d208d1376720e2a907,2
00256bf7b05c08f6a5849df3d0a64f1f,2
0025795df7a7d077c4c90162fa820085,1
0027324a96d26a2bc7d69262f83c8403,2
0028a7d8db7b0247652509358ad8d755,2
0028cfeb9dfcd3628a56d5b6400deef5,3
00293787e2aec37a9c253b63fdfe2049,2
0029bd580d3012618731f5abb174a07f,3
002aba8c1af80acacef6e011f9f23262,2
002ae492472e45ad6ebeb7a625409392,2
002b4cd83fabaffaa475f78ea5ef3e08,3
002bdeb33da5b1b3ce8b9c822f749c82,3
002cdf87d4c03f08f7eb4551a923affc,3
002d3bd901608f67c3fc11eaaa842b13,3
002d71b244beb91ca7030b15ab526446,3
002da6dde369f6a8b4c999ed61eb5a87,2
002eb8b96288f3804e21d2777ac29895,3
002ed12115742033f015cb3c269ccf68,2
002ef00822613c94613e60e03b169fef,2
002feefec5af0a3b26ee7839c66d205e,3
003035f5ec76f2220098377482de93c9,3
003162bf0351f47a1a247992b8b9b42d,2
00324c9f4d710e7bac5c5ba679714430,2
0032c76b20340da25249092a268ce66c,3
0032ca69771a7758ce643258bb9e4ac7,2
0033f4a2887e07e25aa1204d482f41ba,2
00344274804f3b8003de1b0562ae01df,2
0034c76b7e6a17d738375b99afc2f01e,2
0035029989e6fc5cf030918a5f9f2037,1
003650b504826ea534e02eba0ab58dd5,3
0036a074f98b80c4f1fc33dbbcf9c552,3
0036b4a3d09ad551a5188c2e374da402,3
0036d365b138cc0ee06bed755bcb5044,2
00370dfde3d012c420d29657afc2fc8b,2
00377a18050b898b93e2c774be9947db,3
0037aa56b017c105c3a9d47af71fff98,2
0037d2bbb9ebc39d9114aea27ee16d72,3
0037eb1ff742ee2e71ba887f65f3c6f3,3
003800162424b7b5b3d75c9cf22a66e7,2
00391594070baf8603f5fdc1d0c6a48c,2
003a5571a07dcf09bf117d13d2980ba3,2
003a7a8eb096ed3cbf713d2def1ca701,2
003ac9408252444b489b1bfc013f5f8c,2
003ae409f37c3c30cb1c974af3a42692,2
003c2067070f5b3d923235b1ea1cc17b,2
003c457932a554e4df13834237b1ed00,3
003d56767e53e08671de00da3fba8d40,3
003db7adfcdc49857b095a50191b6c9d,2
003e28cb6fab8a0901bff9229612375f,3
